,Date,In_Out,Location,All_Flights,Rainfall,Evaporation,Sunshine,MinTemp,MaxTemp
0,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
1,2008-02-02,I,Sydney,12,6.0,3.4,2.7,19.5,25.6
2,2008-02-02,I,Sydney,17,6.0,3.4,2.7,19.5,25.6
3,2008-02-02,I,Sydney,136,6.0,3.4,2.7,19.5,25.6
4,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
5,2008-02-02,I,Sydney,28,6.0,3.4,2.7,19.5,25.6
6,2008-02-02,I,Sydney,116,6.0,3.4,2.7,19.5,25.6
7,2008-02-02,I,Sydney,10,6.0,3.4,2.7,19.5,25.6
8,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
9,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
10,2008-02-02,I,Sydney,3,6.0,3.4,2.7,19.5,25.6
11,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
12,2008-02-02,I,Sydney,58,6.0,3.4,2.7,19.5,25.6
13,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
14,2008-02-02,I,Sydney,17,6.0,3.4,2.7,19.5,25.6
15,2008-02-02,I,Sydney,12,6.0,3.4,2.7,19.5,25.6
16,2008-02-02,I,Sydney,13,6.0,3.4,2.7,19.5,25.6
17,2008-02-02,I,Sydney,13,6.0,3.4,2.7,19.5,25.6
18,2008-02-02,I,Sydney,17,6.0,3.4,2.7,19.5,25.6
19,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
20,2008-02-02,I,Sydney,58,6.0,3.4,2.7,19.5,25.6
21,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
22,2008-02-02,I,Sydney,42,6.0,3.4,2.7,19.5,25.6
23,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
24,2008-02-02,I,Sydney,21,6.0,3.4,2.7,19.5,25.6
25,2008-02-02,I,Sydney,20,6.0,3.4,2.7,19.5,25.6
26,2008-02-02,I,Sydney,16,6.0,3.4,2.7,19.5,25.6
27,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
28,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
29,2008-02-02,I,Sydney,9,6.0,3.4,2.7,19.5,25.6
30,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
31,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
32,2008-02-02,I,Sydney,13,6.0,3.4,2.7,19.5,25.6
33,2008-02-02,I,Sydney,16,6.0,3.4,2.7,19.5,25.6
34,2008-02-02,I,Sydney,12,6.0,3.4,2.7,19.5,25.6
35,2008-02-02,I,Sydney,16,6.0,3.4,2.7,19.5,25.6
36,2008-02-02,I,Sydney,103,6.0,3.4,2.7,19.5,25.6
37,2008-02-02,I,Sydney,62,6.0,3.4,2.7,19.5,25.6
38,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
39,2008-02-02,I,Sydney,13,6.0,3.4,2.7,19.5,25.6
40,2008-02-02,I,Sydney,19,6.0,3.4,2.7,19.5,25.6
41,2008-02-02,I,Sydney,13,6.0,3.4,2.7,19.5,25.6
42,2008-02-02,I,Sydney,17,6.0,3.4,2.7,19.5,25.6
43,2008-02-02,I,Sydney,1,6.0,3.4,2.7,19.5,25.6
44,2008-02-02,I,Sydney,20,6.0,3.4,2.7,19.5,25.6
45,2008-02-02,I,Sydney,12,6.0,3.4,2.7,19.5,25.6
46,2008-02-02,I,Sydney,30,6.0,3.4,2.7,19.5,25.6
47,2008-02-02,I,Sydney,27,6.0,3.4,2.7,19.5,25.6
48,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
49,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
50,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
51,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
52,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
53,2008-02-02,I,Sydney,6,6.0,3.4,2.7,19.5,25.6
54,2008-02-02,I,Sydney,37,6.0,3.4,2.7,19.5,25.6
55,2008-02-02,I,Sydney,2,6.0,3.4,2.7,19.5,25.6
56,2008-02-02,I,Sydney,1,6.0,3.4,2.7,19.5,25.6
57,2008-02-02,I,Sydney,27,6.0,3.4,2.7,19.5,25.6
58,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
59,2008-02-02,I,Sydney,12,6.0,3.4,2.7,19.5,25.6
60,2008-02-02,I,Sydney,8,6.0,3.4,2.7,19.5,25.6
61,2008-02-02,I,Sydney,4,6.0,3.4,2.7,19.5,25.6
62,2008-02-02,I,Sydney,1,6.0,3.4,2.7,19.5,25.6
63,2008-02-02,I,Sydney,11,6.0,3.4,2.7,19.5,25.6
64,2008-02-02,I,Sydney,5,6.0,3.4,2.7,19.5,25.6
65,2008-02-02,I,Sydney,42,6.0,3.4,2.7,19.5,25.6
66,2008-02-02,I,Sydney,21,6.0,3.4,2.7,19.5,25.6
67,2008-02-02,I,Sydney,4,6.0,3.4,2.7,19.5,25.6
68,2008-02-02,I,Sydney,1,6.0,3.4,2.7,19.5,25.6
69,2008-02-02,I,Sydney,27,6.0,3.4,2.7,19.5,25.6
70,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
71,2008-02-02,I,Sydney,16,6.0,3.4,2.7,19.5,25.6
72,2008-02-02,I,Sydney,12,6.0,3.4,2.7,19.5,25.6
73,2008-02-02,I,Sydney,28,6.0,3.4,2.7,19.5,25.6
74,2008-02-02,I,Sydney,1,6.0,3.4,2.7,19.5,25.6
75,2008-02-02,I,Sydney,8,6.0,3.4,2.7,19.5,25.6
76,2008-02-02,I,Sydney,8,6.0,3.4,2.7,19.5,25.6
77,2008-02-02,I,Sydney,13,6.0,3.4,2.7,19.5,25.6
78,2008-02-02,I,Sydney,9,6.0,3.4,2.7,19.5,25.6
79,2008-02-02,I,Sydney,25,6.0,3.4,2.7,19.5,25.6
80,2008-02-02,I,Sydney,8,6.0,3.4,2.7,19.5,25.6
81,2008-02-02,I,Sydney,4,6.0,3.4,2.7,19.5,25.6
82,2008-02-02,I,Sydney,1,6.0,3.4,2.7,19.5,25.6
83,2008-02-02,I,Sydney,18,6.0,3.4,2.7,19.5,25.6
84,2008-02-02,I,Sydney,3,6.0,3.4,2.7,19.5,25.6
85,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
86,2008-02-02,I,Sydney,28,6.0,3.4,2.7,19.5,25.6
87,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
88,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
89,2008-02-02,I,Sydney,17,6.0,3.4,2.7,19.5,25.6
90,2008-02-02,I,Sydney,13,6.0,3.4,2.7,19.5,25.6
91,2008-02-02,I,Sydney,19,6.0,3.4,2.7,19.5,25.6
92,2008-02-02,I,Sydney,20,6.0,3.4,2.7,19.5,25.6
93,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
94,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
95,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
96,2008-02-02,I,Sydney,12,6.0,3.4,2.7,19.5,25.6
97,2008-02-02,I,Sydney,87,6.0,3.4,2.7,19.5,25.6
98,2008-02-02,I,Sydney,20,6.0,3.4,2.7,19.5,25.6
99,2008-02-02,I,Sydney,29,6.0,3.4,2.7,19.5,25.6
100,2008-02-02,I,Sydney,26,6.0,3.4,2.7,19.5,25.6
101,2008-02-02,I,Sydney,42,6.0,3.4,2.7,19.5,25.6
102,2008-02-02,I,Sydney,4,6.0,3.4,2.7,19.5,25.6
103,2008-02-02,I,Sydney,8,6.0,3.4,2.7,19.5,25.6
104,2008-02-02,I,Sydney,28,6.0,3.4,2.7,19.5,25.6
105,2008-02-02,I,Sydney,1,6.0,3.4,2.7,19.5,25.6
106,2008-02-02,I,Sydney,28,6.0,3.4,2.7,19.5,25.6
107,2008-02-02,I,Sydney,50,6.0,3.4,2.7,19.5,25.6
108,2008-02-02,I,Sydney,58,6.0,3.4,2.7,19.5,25.6
109,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
110,2008-02-02,O,Sydney,13,6.0,3.4,2.7,19.5,25.6
111,2008-02-02,O,Sydney,17,6.0,3.4,2.7,19.5,25.6
112,2008-02-02,O,Sydney,138,6.0,3.4,2.7,19.5,25.6
113,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
114,2008-02-02,O,Sydney,28,6.0,3.4,2.7,19.5,25.6
115,2008-02-02,O,Sydney,116,6.0,3.4,2.7,19.5,25.6
116,2008-02-02,O,Sydney,10,6.0,3.4,2.7,19.5,25.6
117,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
118,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
119,2008-02-02,O,Sydney,4,6.0,3.4,2.7,19.5,25.6
120,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
121,2008-02-02,O,Sydney,58,6.0,3.4,2.7,19.5,25.6
122,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
123,2008-02-02,O,Sydney,12,6.0,3.4,2.7,19.5,25.6
124,2008-02-02,O,Sydney,17,6.0,3.4,2.7,19.5,25.6
125,2008-02-02,O,Sydney,13,6.0,3.4,2.7,19.5,25.6
126,2008-02-02,O,Sydney,13,6.0,3.4,2.7,19.5,25.6
127,2008-02-02,O,Sydney,17,6.0,3.4,2.7,19.5,25.6
128,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
129,2008-02-02,O,Sydney,58,6.0,3.4,2.7,19.5,25.6
130,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
131,2008-02-02,O,Sydney,42,6.0,3.4,2.7,19.5,25.6
132,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
133,2008-02-02,O,Sydney,21,6.0,3.4,2.7,19.5,25.6
134,2008-02-02,O,Sydney,20,6.0,3.4,2.7,19.5,25.6
135,2008-02-02,O,Sydney,16,6.0,3.4,2.7,19.5,25.6
136,2008-02-02,O,Sydney,4,6.0,3.4,2.7,19.5,25.6
137,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
138,2008-02-02,O,Sydney,30,6.0,3.4,2.7,19.5,25.6
139,2008-02-02,O,Sydney,9,6.0,3.4,2.7,19.5,25.6
140,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
141,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
142,2008-02-02,O,Sydney,13,6.0,3.4,2.7,19.5,25.6
143,2008-02-02,O,Sydney,17,6.0,3.4,2.7,19.5,25.6
144,2008-02-02,O,Sydney,12,6.0,3.4,2.7,19.5,25.6
145,2008-02-02,O,Sydney,17,6.0,3.4,2.7,19.5,25.6
146,2008-02-02,O,Sydney,103,6.0,3.4,2.7,19.5,25.6
147,2008-02-02,O,Sydney,4,6.0,3.4,2.7,19.5,25.6
148,2008-02-02,O,Sydney,1,6.0,3.4,2.7,19.5,25.6
149,2008-02-02,O,Sydney,57,6.0,3.4,2.7,19.5,25.6
150,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
151,2008-02-02,O,Sydney,13,6.0,3.4,2.7,19.5,25.6
152,2008-02-02,O,Sydney,4,6.0,3.4,2.7,19.5,25.6
153,2008-02-02,O,Sydney,15,6.0,3.4,2.7,19.5,25.6
154,2008-02-02,O,Sydney,13,6.0,3.4,2.7,19.5,25.6
155,2008-02-02,O,Sydney,1,6.0,3.4,2.7,19.5,25.6
156,2008-02-02,O,Sydney,17,6.0,3.4,2.7,19.5,25.6
157,2008-02-02,O,Sydney,21,6.0,3.4,2.7,19.5,25.6
158,2008-02-02,O,Sydney,12,6.0,3.4,2.7,19.5,25.6
159,2008-02-02,O,Sydney,27,6.0,3.4,2.7,19.5,25.6
160,2008-02-02,O,Sydney,30,6.0,3.4,2.7,19.5,25.6
161,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
162,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
163,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
164,2008-02-02,O,Sydney,28,6.0,3.4,2.7,19.5,25.6
165,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
166,2008-02-02,O,Sydney,4,6.0,3.4,2.7,19.5,25.6
167,2008-02-02,O,Sydney,1,6.0,3.4,2.7,19.5,25.6
168,2008-02-02,O,Sydney,38,6.0,3.4,2.7,19.5,25.6
169,2008-02-02,O,Sydney,28,6.0,3.4,2.7,19.5,25.6
170,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
171,2008-02-02,O,Sydney,12,6.0,3.4,2.7,19.5,25.6
172,2008-02-02,O,Sydney,8,6.0,3.4,2.7,19.5,25.6
173,2008-02-02,O,Sydney,4,6.0,3.4,2.7,19.5,25.6
174,2008-02-02,O,Sydney,12,6.0,3.4,2.7,19.5,25.6
175,2008-02-02,O,Sydney,5,6.0,3.4,2.7,19.5,25.6
176,2008-02-02,O,Sydney,42,6.0,3.4,2.7,19.5,25.6
177,2008-02-02,O,Sydney,21,6.0,3.4,2.7,19.5,25.6
178,2008-02-02,O,Sydney,4,6.0,3.4,2.7,19.5,25.6
179,2008-02-02,O,Sydney,28,6.0,3.4,2.7,19.5,25.6
180,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
181,2008-02-02,O,Sydney,17,6.0,3.4,2.7,19.5,25.6
182,2008-02-02,O,Sydney,12,6.0,3.4,2.7,19.5,25.6
183,2008-02-02,O,Sydney,28,6.0,3.4,2.7,19.5,25.6
184,2008-02-02,O,Sydney,8,6.0,3.4,2.7,19.5,25.6
185,2008-02-02,O,Sydney,8,6.0,3.4,2.7,19.5,25.6
186,2008-02-02,O,Sydney,13,6.0,3.4,2.7,19.5,25.6
187,2008-02-02,O,Sydney,8,6.0,3.4,2.7,19.5,25.6
188,2008-02-02,O,Sydney,25,6.0,3.4,2.7,19.5,25.6
189,2008-02-02,O,Sydney,8,6.0,3.4,2.7,19.5,25.6
190,2008-02-02,O,Sydney,4,6.0,3.4,2.7,19.5,25.6
191,2008-02-02,O,Sydney,3,6.0,3.4,2.7,19.5,25.6
192,2008-02-02,O,Sydney,18,6.0,3.4,2.7,19.5,25.6
193,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
194,2008-02-02,O,Sydney,28,6.0,3.4,2.7,19.5,25.6
195,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
196,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
197,2008-02-02,O,Sydney,1,6.0,3.4,2.7,19.5,25.6
198,2008-02-02,O,Sydney,17,6.0,3.4,2.7,19.5,25.6
199,2008-02-02,O,Sydney,13,6.0,3.4,2.7,19.5,25.6
200,2008-02-02,O,Sydney,19,6.0,3.4,2.7,19.5,25.6
201,2008-02-02,O,Sydney,20,6.0,3.4,2.7,19.5,25.6
202,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
203,2008-02-02,O,Sydney,12,6.0,3.4,2.7,19.5,25.6
204,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
205,2008-02-02,O,Sydney,28,6.0,3.4,2.7,19.5,25.6
206,2008-02-02,O,Sydney,87,6.0,3.4,2.7,19.5,25.6
207,2008-02-02,O,Sydney,20,6.0,3.4,2.7,19.5,25.6
208,2008-02-02,O,Sydney,29,6.0,3.4,2.7,19.5,25.6
209,2008-02-02,O,Sydney,30,6.0,3.4,2.7,19.5,25.6
210,2008-02-02,O,Sydney,45,6.0,3.4,2.7,19.5,25.6
211,2008-02-02,O,Sydney,8,6.0,3.4,2.7,19.5,25.6
212,2008-02-02,O,Sydney,27,6.0,3.4,2.7,19.5,25.6
213,2008-02-02,O,Sydney,1,6.0,3.4,2.7,19.5,25.6
214,2008-02-02,O,Sydney,27,6.0,3.4,2.7,19.5,25.6
215,2008-02-02,O,Sydney,50,6.0,3.4,2.7,19.5,25.6
216,2008-02-02,O,Sydney,58,6.0,3.4,2.7,19.5,25.6
217,2008-03-03,I,Sydney,31,0.2,2.6,11.2,15.0,23.1
218,2008-03-03,I,Sydney,12,0.2,2.6,11.2,15.0,23.1
219,2008-03-03,I,Sydney,17,0.2,2.6,11.2,15.0,23.1
220,2008-03-03,I,Sydney,143,0.2,2.6,11.2,15.0,23.1
221,2008-03-03,I,Sydney,31,0.2,2.6,11.2,15.0,23.1
222,2008-03-03,I,Sydney,31,0.2,2.6,11.2,15.0,23.1
223,2008-03-03,I,Sydney,1,0.2,2.6,11.2,15.0,23.1
224,2008-03-03,I,Sydney,123,0.2,2.6,11.2,15.0,23.1
225,2008-03-03,I,Sydney,13,0.2,2.6,11.2,15.0,23.1
226,2008-03-03,I,Sydney,29,0.2,2.6,11.2,15.0,23.1
227,2008-03-03,I,Sydney,31,0.2,2.6,11.2,15.0,23.1
228,2008-03-03,I,Sydney,4,0.2,2.6,11.2,15.0,23.1
229,2008-03-03,I,Sydney,31,0.2,2.6,11.2,15.0,23.1
230,2008-03-03,I,Sydney,62,0.2,2.6,11.2,15.0,23.1
231,2008-03-03,I,Sydney,31,0.2,2.6,11.2,15.0,23.1
232,2008-03-03,I,Sydney,18,0.2,2.6,11.2,15.0,23.1
233,2008-03-03,I,Sydney,13,0.2,2.6,11.2,15.0,23.1
234,2008-03-03,I,Sydney,13,0.2,2.6,11.2,15.0,23.1
235,2008-03-03,I,Sydney,13,0.2,2.6,11.2,15.0,23.1
236,2008-03-03,I,Sydney,17,0.2,2.6,11.2,15.0,23.1
237,2008-03-03,I,Sydney,31,0.2,2.6,11.2,15.0,23.1
238,2008-03-03,I,Sydney,62,0.2,2.6,11.2,15.0,23.1
239,2008-03-03,I,Sydney,31,0.2,2.6,11.2,15.0,23.1
240,2008-03-03,I,Sydney,44,0.2,2.6,11.2,15.0,23.1
241,2008-03-03,I,Sydney,31,0.2,2.6,11.2,15.0,23.1
242,2008-03-03,I,Sydney,22,0.2,2.6,11.2,15.0,23.1
243,2008-03-03,I,Sydney,22,0.2,2.6,11.2,15.0,23.1
244,2008-03-03,I,Sydney,18,0.2,2.6,11.2,15.0,23.1
245,2008-03-03,I,Sydney,31,0.2,2.6,11.2,15.0,23.1
246,2008-03-03,I,Sydney,31,0.2,2.6,11.2,15.0,23.1
247,2008-03-03,I,Sydney,1,0.2,2.6,11.2,15.0,23.1
248,2008-03-03,I,Sydney,8,0.2,2.6,11.2,15.0,23.1
249,2008-03-03,I,Sydney,31,0.2,2.6,11.2,15.0,23.1
250,2008-03-03,I,Sydney,22,0.2,2.6,11.2,15.0,23.1
251,2008-03-03,I,Sydney,1,0.2,2.6,11.2,15.0,23.1
252,2008-03-03,I,Sydney,12,0.2,2.6,11.2,15.0,23.1
253,2008-03-03,I,Sydney,18,0.2,2.6,11.2,15.0,23.1
254,2008-03-03,I,Sydney,13,0.2,2.6,11.2,15.0,23.1
255,2008-03-03,I,Sydney,18,0.2,2.6,11.2,15.0,23.1
256,2008-03-03,I,Sydney,110,0.2,2.6,11.2,15.0,23.1
257,2008-03-03,I,Sydney,1,0.2,2.6,11.2,15.0,23.1
258,2008-03-03,I,Sydney,61,0.2,2.6,11.2,15.0,23.1
259,2008-03-03,I,Sydney,31,0.2,2.6,11.2,15.0,23.1
260,2008-03-03,I,Sydney,13,0.2,2.6,11.2,15.0,23.1
261,2008-03-03,I,Sydney,22,0.2,2.6,11.2,15.0,23.1
262,2008-03-03,I,Sydney,13,0.2,2.6,11.2,15.0,23.1
263,2008-03-03,I,Sydney,17,0.2,2.6,11.2,15.0,23.1
